sentence,created_at,ave_sentiment,user_username
"#Indigenous women in #Peru went on a crusade to save a wild cotton species used to make everyday items like dresses and fishnets. Meanwhile, they made an income, empowered themselves &amp; improved their #environment  https://t.co/2o8XOnKTLw #WeAreIndigenous #IndigenousDay https://t.co/6do5p1bc1Y",2018-08-09T17:35:05.000Z,0.142767185,theGEF
Did you know that @theGEF has supported over 220 full and medium-sized projects that involved indigenous peoples since 2014 and is continually working to expand projects that integrate #IndigenousPeoples: https://t.co/SNP36RvM22 #WeAreIndigenous #IndigenousDay https://t.co/o6hOSacEqw,2018-08-09T14:25:04.000Z,0.173925271,theGEF
"RT @UNEnvironment: Knowledge = power. This #IndigenousDay, let's celebrate women like Leah Orwangas, who is educating other women in Tanzan…",2018-08-09T13:40:39.000Z,0.279099445,theGEF
"RT @UNHumanRights: ""If we do not promote #indigenous rights, and safeguard the knowledge which indigenous peoples treasure, we will irrepar…",2018-08-09T13:39:37.000Z,0.257147817,theGEF
.@theGEF Small Grants Programme supports an association of #indigenous women in #Peru who restored a wild cotton species in an environmentally responsible way and gave their community a new opportunity for making a living https://t.co/2o8XOnKTLw #WeAreIndigenous #IndigenousDay https://t.co/lGmjtolTfD,2018-08-09T08:00:22.000Z,0.521749195,theGEF
.@theGEF 's work on protecting #biodiversity has a special focus on forming partnerships with #indigenouspeoples who have been managing their own territories and taking care of the #environment for generations https://t.co/9kYa9AzGU8 #WeAreIndigenous #IndigenousDay https://t.co/zqnqHfAtwP,2018-08-09T05:00:07.000Z,0.601268983,theGEF
".@MaasaiWild  was created to protect Kenya?s Chyulu Hills, home to the Maasai people and critical habitat for #Africa?s iconic biodiversity. Read US Board President, film-maker and activist @EdwardNorton story about the area here: https://t.co/myJOG085OR #WeAreIndigenous https://t.co/5ob4vxW9vk",2018-08-09T02:15:04.000Z,0.140619458,theGEF
The leadership of indigenous peoples and local communities is essential to achieving social &amp; environmental goals. #WeAreIndigenous #IndigenousDay via @nature_org https://t.co/K1bNBkxKcE https://t.co/MbZ12NxEQ4,2018-08-08T22:30:12.000Z,0.081852949,theGEF
This @theGEF @UNDP project is supporting communities in #Mexico to preserve their ecosystems? genetic resources and the traditional knowledge based upon them: https://t.co/1ZOP7OHHjH #IndigenousDay #WeAreIndigenous https://t.co/CCQUfFii1U,2018-08-08T17:00:56.000Z,0.345419287,theGEF
Traditional knowledge in #Peru is used to conserve rare alpacas &amp; foster livelihoods based on eco-friendly textiles https://t.co/YqMG1SnFst #WeAreIndigenous #IndigenousDay https://t.co/1wUyEiKtKV,2018-08-08T14:01:13.000Z,0.51066218,theGEF
A farmer in #Kenya receives all the water he needs for his farm from roof water &amp; road water harvesting. Innovative methods like this can transform smallholder agriculture in drylands to benefit people &amp; the planet https://t.co/UVfYUBrkkv #FoodSecurity https://t.co/px1g2zc5GW,2018-08-08T11:00:44.000Z,0.18046879,theGEF
A @theGEF &amp; @WorldBank #Africa project in Northern #Ghana has created a knowledge sharing partnership between communities &amp; experts that has yielded solutions to land degradation and restored livelihoods https://t.co/4UK4t9ubdr #SLM w/ @WorldBankAfrica https://t.co/HJUYISooPW,2018-08-08T08:00:26.000Z,0.254600527,theGEF
"Public-Private Partnerships or #PPPs have been instrumental in building transportation, energy, telecommunications, and other infrastructure throughout the world. Now is the time to use this successful model in the #tourism sector. Read more on #theGEFBlog https://t.co/btzzvskUao https://t.co/kxBtWRl5d4",2018-08-08T05:00:09.000Z,0.16119797,theGEF
