sentence,created_at,ave_sentiment,user_username
"#CITESCoP18 kicks off this week, discover more about the proposals with the IUCN and @TRAFFIC_WLTrade science based analysis. https://t.co/1Q16TV9mQW https://t.co/5qIx2dqTNa",2019-08-14T14:01:10.000Z,0,IUCN
@ArcusGreatApes @IUCNRedList Here it is: https://t.co/gUs2gAPRF5 It's published in @nresearchnews,2019-08-14T09:54:06.000Z,0,IUCN
"Protected and conserved areas are the foundation of biodiversity conservation safeguarding nature and cultural resources, improving livelihoods and driving sustainable development.

Discover IUCN’s work on protected areas and conserved areas. @IUCN_PA https://t.co/EN22pEcqwG https://t.co/iXd3fK3wl5",2019-08-14T06:00:42.000Z,0.425379518,IUCN
News: IUCN study identifies primate species vulnerable to extreme climatic events https://t.co/oDnhy8mujq @IUCNRedList https://t.co/mE3iM0Tl16,2019-08-13T14:40:09.000Z,-0.093831486,IUCN
"Every second, more than a hectare of tropical forests is destroyed or drastically degraded. 
https://t.co/NjQaeKAhHb @IUCN_forests https://t.co/2Hxae8BiFJ",2019-08-13T06:30:17.000Z,-0.56440392,IUCN
"Coral reefs cover less than 1% of the Earth’s surface but over 500 million people worldwide depend on them for food, storm protection, jobs, and recreation.

Discover IUCN’s work to halt the decline of coral reefs.  https://t.co/3BWhuOSV0M https://t.co/uwAga6w3hY",2019-08-12T08:24:40.000Z,0.02776285,IUCN
"There are solutions that can be deployed that combat land degradation, put food on the table, deliver economic benefits and build resilience to #ClimateChange, all at the same time. 

Read more in @Nature4Climate’s response to this week’s #IPCC report. https://t.co/hk81XbMVgt https://t.co/fOaEq2pB3A",2019-08-11T08:00:36.000Z,0.04533252,IUCN
"In the last 100 years, the number of wild lions in Africa dropped from 200,000 to 20,000 because of pressures including habitat loss and human-lion conflicts.

Discover IUCN's work to stabilise and increase lion populations. #WorldLionDay https://t.co/pVxmK5wotS @SpeciesSavers https://t.co/OX2aqCwvPe",2019-08-10T13:00:49.000Z,0.067598862,IUCN
"Indigenous peoples’ contributions to conservation are essential and invaluable. In 2016, IUCN strengthened their voice and role in IUCN by creating a new category of membership for indigenous peoples’ organisations. https://t.co/gHD1kGOfZo #IndigenousPeoplesDay #IUCNcongress https://t.co/Bu5927eGGB",2019-08-09T14:01:46.000Z,0.424525702,IUCN
"""Biodiversity thrives in the care of indigenous communities and integrating their insight into conservation is proving indispensable.""

Statement from Acting IUCN Director General Dr Grethel Aguilar for #IndigenousPeoplesDay https://t.co/hFJtO2K42O 
#WeAreIndigenous https://t.co/cf85qtl35B",2019-08-09T06:00:16.000Z,0.345256316,IUCN
