sentence,created_at,ave_sentiment,user_username
"The forecast path of ""violent"" typhoon #Jebi on path towards #Japan. Updates from WMO Severe Weather Information Centre https://t.co/DCTNaWmYVh https://t.co/BqLygrprQa",2018-08-31T07:57:50.000Z,-0.110568557,WMO
"RT @AEMET_Esp: Extensión de hielo marino desde 1979 en hemisferio norte.
Colores azules ➡️ extensión superior a la media.
Colores rojos➡️ e…",2018-08-31T07:16:09.000Z,0.129465821,WMO
"RT @NOAASatellites: Warm ocean waters are helping Typhoon #Jebi intensify quickly in the Pacific, seen here from #Himawari8. The storm is e…",2018-08-30T13:46:16.000Z,0.102491582,WMO
Aboard #icebreaker #Oden. Weather balloons are launched every 6 hours  as part of project by #Arctic Climate Across Scales and @environmentca. One of many Year of #PolarPrediction activities to improve weather forecasts. Pic: Michael Tjernström https://t.co/aEUc9VEHDa,2018-08-30T11:49:46.000Z,0.11248502,WMO
"This graph from @dmidk and @ZLabe shows the monthly average sea ice extent in Northern hemisphere since 1979, as observed by @eumetsat  @OSISAF.  #climatechange #ParisAgreement https://t.co/RvgHfTdD5P",2018-08-30T11:06:27.000Z,0,WMO
"RT @volvooceanrace: ✔ 75 samples taken along the race route 👏🏻
✔ Just 3 contained no microplastics 💦
✔ Plastic even found at Point Nemo, th…",2018-08-30T10:08:46.000Z,-0.13764944,WMO
Congrats to UN @UNEnvironment Patron of the #Oceans @LewisPugh for arriving in Dover after completing 530 kms in 49 days to raise awareness about the need to protect ocean health and beat plastic pollution #TheLongSwim https://t.co/pQAz93WW4d,2018-08-29T14:16:08.000Z,0.504403684,WMO
"RT @NOAASatellites: Check out these 17 newly released views of from #GOES17, one from each of the 16 channels on the satellite’s Advanced B…",2018-08-29T13:11:49.000Z,0.156385811,WMO
RT @UNFCCC: Did you know that 93% of all countries have identified water as key to building resilience in their national climate action pla…,2018-08-29T08:41:49.000Z,0.072980045,WMO
Cumulonimbus #storm cloud approaching Italian port of #Trieste last Saturday. Tnx @suarezphotofor sharing. https://t.co/6Y5bgM17CD,2018-08-29T08:22:36.000Z,-0.077198501,WMO
"RT @NASAEarth: Humboldt Glacier in the remote tropical Andes is going, going, and nearly gone. In 1910, glaciers spanned an area of at leas…",2018-08-28T11:45:13.000Z,0,WMO
RT @UNFCCC: Have a hard time coming to grips with the fact that global temperatures are on the rise? Check out all the global heat records…,2018-08-28T09:05:55.000Z,0.092799075,WMO
RT @SMN_Argentina: #CambioClimático 🌎 | Visualización de las variaciones (anomalías) de temperatura por país creado por @antilip del Instit…,2018-08-28T08:17:59.000Z,0,WMO
"Data visualization by @antilip at Finnish Meteorological Institute of temperature anomalies 1880-2017 by country, using @NASA GISS data #GISTEMP #climatechange. Download at https://t.co/7MVLWL0vyO https://t.co/iKiJjabwwm",2018-08-27T15:42:27.000Z,0,WMO
