id,sentence,created_at,ave_sentiment,user_username
1,"Mike Henry, our CEO, highlights our long standing commitment to addressing climate change. We have a plan and we’re taking action. Learn more:  https://t.co/VZGAVdHNNd",2021-09-29T06:07:05.000Z,0.269961974,bhp
2,Copper is essential. Copper helps to accelerate energy transition and continued economic development. Learn more: https://t.co/W2KEVhssnv,2021-09-29T00:00:00.000Z,0.354868091,bhp
3,@Pablo_iturrieta Hola Pablo. Gracia por tu comment. Por favor envíenos un correo electrónico: inclusion@bhp.com,2021-09-28T06:10:44.000Z,0.084537363,bhp
4,"En la reciente cumbre de minería Perumin, el Presidente de Minerals Americas, Rag Udd, destacó el rol clave que jugará BHP en habilitar un futuro en el cual los recursos que producimos son esenciales para la vida moderna. Descubre más en: https://t.co/bCuzZ8TNBj",2021-09-27T09:00:03.000Z,0,bhp
5,The future of a world full of low emissions transport is being built right now. The commodities we produce such as copper and nickel as essential in the production of electric vehicles and their power sources. Discover more: https://t.co/ec0tGswh0m,2021-09-24T02:44:44.000Z,0.126850735,bhp
6,"We’re committed to playing our part in addressing climate change. As the world’s leading resources company, we have a responsibility to do this. Learn more: https://t.co/VZGAVdZpbN",2021-09-24T00:00:01.000Z,0.290754611,bhp
7,"Rag, our Minerals Americas Asset President shares more about the Jansen Stage 1 project in Canada, which will deliver 4.35 million tonnes of potash per year with initial production targeted for 2027. Discover more: https://t.co/Ax1VmZJjpg",2021-09-22T02:22:06.000Z,-0.079421987,bhp
8,Nickel is an essential ingredient to lithium-ion batteries that power electric vehicles. Learn more: https://t.co/hq8c124Nqc,2021-09-20T08:00:00.000Z,0.337763471,bhp
9,Read more of BHP’s insights into how population growth and rising standards are changing the world in the 2021 Economic and Commodity Outlook: https://t.co/w7rOq3LpFX,2021-09-17T00:00:00.000Z,0.046423835,bhp
10,"COVID-19 continues to change the globe. Read more of BHP’s insights on economic, commodity market and global mega-trends in the 2021 Economic and Commodity Outlook: https://t.co/w7rOq4314x",2021-09-16T00:00:01.000Z,-0.010701789,bhp
11,"Many of the commodities we produce, such iron ore are essential to modern life. Learn more: https://t.co/94XFc289p8",2021-09-15T00:00:01.000Z,0.432491166,bhp
