id,sentence,created_at,ave_sentiment,user_username
1,"In just four years of teaching, Charlene Posadas has grown to be respected by her Woodland Acres Elementary colleagues for her cutting edge use of technology and kind spirit. And now she's a #MathTeacher of the Month! https://t.co/N8x6gtvdcf @GalenaParkISD @astros https://t.co/C4LGQpdI3R",2021-09-29T01:18:06.000Z,0.190396586,conocophillips
2,Congratulations to #CEORyanLance on receiving Montana Tech's first-ever Chancellor's Award of Distinction. Read more: https://t.co/g1MeFwBjtb,2021-09-27T20:24:34.000Z,0.393500009,conocophillips
3,"From #CEORyanLance: “In addition to enhancing our base plan, this transaction also enhances our ability as an E&amp;P company to have a valued role in energy transition by accelerating progress on our Triple Mandate."" Learn more: https://t.co/L0jKfNBGN4 https://t.co/b8YPWsmCFG",2021-09-22T17:24:23.000Z,0.37867943,conocophillips
4,"RT @BloombergTV: ConocoPhillips is doubling down on the Permian Basin with a second big acquisition this year, CEO Ryan Lance says https://…",2021-09-21T20:17:24.000Z,0.053300179,conocophillips
5,"#CEORyanLance discusses #ConocoPhillips' acquisition of Shell’s Delaware basin position, an increase in the company’s quarterly ordinary dividend and improved Scope 1 and 2 GHG emissions intensity reduction targets on @BloombergTV: https://t.co/5yNyJnJ69k https://t.co/77rbbZEH5G",2021-09-21T17:42:19.000Z,0.134396801,conocophillips
6,"The Norwegian Petroleum Society awarded its Exploration Revived Award to #ConocoPhillips Norway, citing the team’s holistic exploration approach, including ""large scale reprocessing of broadband seismic, advanced rock physics and big data analyses.” https://t.co/bhIyTGWYT1 https://t.co/D15GWh13i9",2021-09-17T13:04:13.000Z,0.526120068,conocophillips
7,"Congratulations to Math Teacher of the Month honoree Karli Rivera, a 4th grade math and science teacher at Keith Elementary in @CyFairISD. Join us and the @astros in congratulating Karli on her outstanding work in the classroom! Learn more here: https://t.co/Ng00nHa5Xm https://t.co/SBON3s7gcU",2021-09-16T18:29:07.000Z,0.406418266,conocophillips
8,"RT @HoustonTX: 🎉🎉Special #Shoutout to the @HoustonTexans,@conocophillips, @CocaColaSWB, &amp; @MillerLite for their work in supporting social j…",2021-09-16T15:11:59.000Z,0.424264069,conocophillips
9,"Wendy King, vice president, Gulf Coast has worked in 7 business units and 5 countries, experiences that led her to adapt and appreciate different workplace cultures and norms. Read more about her experiences and #ConocoPhillips' company culture: https://t.co/wW1xeaBKHI https://t.co/4B2vo4orad",2021-09-13T16:16:51.000Z,0.277906885,conocophillips
10,"See how slim-hole drilling, automated drilling, twin fracs (shown), alternative-fuel fracs, refracs and multivariate analysis drive efficiencies in our Lower 48 operations. https://t.co/SC1RB7zzpP https://t.co/AA03KG7EO0",2021-09-07T17:48:06.000Z,0.096715946,conocophillips
11,"Today NEEDED launched a new research center in Sandnes, Norway supported by #ConocoPhillips. The organization researches early detection of serious heart disease and the prevention of sudden cardiac death. Learn more:
 https://t.co/8UDgxoZ2ZL https://t.co/LAeUto4cCl",2021-09-03T17:25:08.000Z,0.223919965,conocophillips
12,John is a Surmont production superintendent whose D&amp;I advocacy extends from his workplace to his community. His leadership helped transform Calgary's Parkdale community ice rink into Alberta’s first accessible outdoor rink.  https://t.co/MkHDauPziK https://t.co/QgVOu3kM09,2021-08-30T21:52:43.000Z,0.331218272,conocophillips
13,@KarliRivera3 Thank you for the great work you do in the classroom! So glad you all had fun last night!,2021-08-22T18:06:50.000Z,0.445587002,conocophillips
14,"When COVID-19 restrictions prevented new crew members from boarding the Polar Endeavour, all dry dock onboard maintenance was safely completed by a half crew - 13 people. Learn more about their extraordinary effort: https://t.co/DhwztVn9AP #ConocoPhillips #PolarTankers https://t.co/eOU249SOdD",2021-08-17T14:24:37.000Z,0.483804653,conocophillips
15,"Read how Khalid Soofi's work on groundbreaking projects for #ConocoPhillips has set industry trends, including the development of ground-based emissions monitoring, or SOOFIE sensors. https://t.co/KWM5MNsONC https://t.co/TNcEKhs1iu",2021-08-12T18:38:37.000Z,0.158249036,conocophillips
16,Congratulations to Math Teacher of the Month honoree Shannon York from @GalenaParkISD's Dr. Gerald D. Cobb Sixth Grade Campus. We loved celebrating her years of good work with the @astros this weekend! Learn more about Shannon here: https://t.co/6fQek6LGo2. https://t.co/WX7WltUtEQ,2021-08-09T19:52:06.000Z,0.356465989,conocophillips
17,"RT @COP_Alaska: We were humbled to attend the 2021 Camp Gold Star Peak, Inc. groundbreaking recently. Gold Star Peak's mission is to bring…",2021-08-09T15:35:58.000Z,0.49538046,conocophillips
18,"See how a group of passionate women in #ConocoPhillips Information Technology created the Girls Talk Tech #IT Summer Program, giving both access and opportunity to high schoolers: https://t.co/72Zj3KI0pZ #womeninSTEM https://t.co/CujArKHCi8",2021-08-06T14:16:51.000Z,0.486664263,conocophillips
19,"RT @23WPC2021: Pitch your ideas to the global #energy industry at the #23WPCHouston! Located on the Congress exhibition floor, the Innovati…",2021-08-04T17:07:23.000Z,0.060538463,conocophillips
20,John earned a #ConocoPhillips 2021 SPIRIT Award for D&amp;I advocacy within his team. But his work in the community is equally impressive: John led a project to transform Calgary's Parkdale community ice rink into Alberta’s first accessible outdoor rink.  https://t.co/2QO85xebUy https://t.co/gJPCNVHOYQ,2021-08-04T14:51:11.000Z,0.515114295,conocophillips
21,"“The SPIRIT Values are truly engrained throughout the work we do at ConocoPhillips, and here at Montney,” said Senior Operator and Process Safety SPIRIT Award winner Norm Demmitt. “I’m very proud to be a part of it.” Click through to learn more. https://t.co/N78MPv7Jja https://t.co/QBTC3B5AWb",2021-07-29T18:14:17.000Z,0.531199356,conocophillips
22,Successful explorers are fully dependent on highly skilled drillers and vice versa. Learn more about how collaboration led to four discoveries in five wells between August 2019 and December 2020. #ConocoPhillipsNorway https://t.co/gDvs8m28sI https://t.co/3yj8LWDMtI,2021-07-28T14:01:16.000Z,0.307840986,conocophillips
23,"Girls Talk Tech was formed by women in #ConocoPhillips IT to educate, encourage and empower young women. 12 high school students chosen for the summer program partnered to devise and present an analytics solution. #PositiveEnergy #FacesofEMERGE  https://t.co/1SZj2irWBJ https://t.co/ROWJSuk50S",2021-07-27T19:52:07.000Z,0.405544354,conocophillips
24,"Last month, Khalid Soofi celebrated his 40th anniversary with #ConocoPhillips. Read how his work on groundbreaking projects has set industry trends, including the development of ground-based emissions monitoring, or SOOFIE sensors. https://t.co/F1mdBdGlMn https://t.co/AlkymIFSy6",2021-07-22T20:25:28.000Z,0.220779081,conocophillips
25,Congratulations to Math Teacher of the Month Laura Fosson! Laura is a third grade math teacher at @ConroeISD's  Birnham Woods Elementary. We loved celebrating her good work in the classroom with the @astros! @birnhamwoodspto  https://t.co/GzuCtlVyvz https://t.co/V3yGTVAOf6,2021-07-20T20:30:25.000Z,0.275278835,conocophillips
26,"RT @23WPC2021: Submit your idea for a chance to be among 32 selected companies to present their innovative solutions, cutting-edge technolo…",2021-07-19T16:07:24.000Z,0.327326835,conocophillips
27,See how sonar data reviewed by environmental experts ensured the planned path for a remote operated vehicle (ROV) was appropriately positioned before the Slagugle and Warka exploration wells were drilled offshore Norway in 2020: https://t.co/Q6Tu9RnLKp https://t.co/2TyiJMiTBK https://t.co/YCgyp3xZRq,2021-07-15T14:42:07.000Z,0.036084392,conocophillips
28,"“ConocoPhillips is what the world looks like. It’s very diverse. We have people from everywhere.” Read more from Nuny Rincones, D&amp;I champion, Venezuelan native and #ConocoPhillips staff reservoir characterization #engineer: https://t.co/wySzMcnUah https://t.co/ERgwgHcHFy",2021-07-12T12:20:05.000Z,0.098945781,conocophillips
29,RT @astros: We are proud to honor Laura Fosson as this month's @conocophillips Math Teacher of the Month! https://t.co/MWbDk9uuqt,2021-07-10T16:26:30.000Z,0.257239003,conocophillips
30,Four discoveries in five wells between August 2019 and December 2020. Learn more about the great exploration success #ConocoPhillips Norway achieved over a 16-month period: https://t.co/9QCXqqPDpE #ConocoPhillipsNorway https://t.co/wFSwA383TG,2021-07-08T14:05:24.000Z,0.511269798,conocophillips
31,"Across the land of the free and the home of the brave, we wish you a happy #IndependenceDay weekend. Celebrate safely, friends! #ConocoPhillips https://t.co/uxAL9D5NnW",2021-07-02T15:00:17.000Z,0.410357628,conocophillips
32,"""We don’t believe any other company in our E&amp;P sector offers a more investable plan for this vital business."" #CEORyanLance Check out the news release: https://t.co/xH04oRcL8K or see more in this afternoon's @BloombergTV interview: https://t.co/KOotqrkOEl. https://t.co/Hf1r55Hy6g",2021-06-30T20:34:05.000Z,0.074947995,conocophillips
33,"Read how our 2021 Innovation Champion, in collaboration with #ConocoPhillips teams around the world, invented a way to recycle produced water which has since been implemented in produced water recycling plants in Texas, New Mexico and Alberta, Canada.  https://t.co/s2fNQmtRZi https://t.co/mgE0UJWaIB",2021-06-29T20:34:53.000Z,0.237732242,conocophillips
34,"As #PrideMonth draws to a close, check out these shots from #ConocoPhillips' operations around the world. https://t.co/D6ECQ7MB1W",2021-06-28T21:12:47.000Z,0,conocophillips
35,#ConocoPhillips 2021 SPIRIT of Performance Award winner Jeremy Grabow both led a proactive fire tube inspection campaign in the #Bakken and identified a new technology that allows us to safely inspect tubes without halting production. Learn more: https://t.co/nENYYcg6qd https://t.co/BhC0DjqPCV,2021-06-24T14:53:06.000Z,0.563705661,conocophillips
36,"This week #ConocoPhillips Black Employee Networks and #CEORyanLance hosted a virtual celebration for #Juneteenth, focusing on its history and exploring the evolution of freedom since this day in 1865. https://t.co/baXH8VuSIt",2021-06-19T13:10:04.000Z,0.216562548,conocophillips
37,"#TBT: On July 15, 2020, a #ConocoPhillips senior facility engineer at our Lost Cabin Gas Plant Personnel Camp in Lysite, Wyoming took this photo of the comet NEOWISE. Click through to learn more about this shot: https://t.co/FxJu198r0A https://t.co/82SQTEf2nw",2021-06-17T12:45:05.000Z,0.009046114,conocophillips
38,"Our thanks to Wayne Peacock of @USAA for inviting #CEORyanLance to participate in the #MovetheNeedle CEO Challenge. Here, Ryan discusses #ConocoPhillips' three priorities during the pandemic and invites Brett White to share how @CushWake is moving the needle. https://t.co/VdOdMhIDsR",2021-06-16T12:45:20.000Z,0.065076766,conocophillips
39,"The true measure of #ConocoPhillips' commitment to #DandI is found in the stories of those who shape our culture and make us who we are. As one employee said, ""ConocoPhillips is what the world looks like. It’s very diverse. We have people from everywhere.” https://t.co/NwX3hebwpH https://t.co/rNZdZx7CaS",2021-06-15T19:09:09.000Z,0.187246763,conocophillips
40,Happy #FlagDay! Today in the U.S. we commemorate the anniversary of the adoption of the Stars and Stripes as our official flag. Want to mark the day with math? Click through for 18 equations: https://t.co/v0CqsMH4aL. https://t.co/3dFtgh7zqL,2021-06-14T12:56:19.000Z,0.231256688,conocophillips
41,"The first-ever virtual @RODEOHOUSTON #RodeoRun meant people from all over the world could participate, and they did! Runners represented 44 states and 14 countries, and more than 250 of them competed as Team #ConocoPhillips, raising money for scholarships. https://t.co/v49MOkp0BO https://t.co/LIKmae4OcV",2021-06-11T12:02:12.000Z,0.09781862,conocophillips
42,"Gratulerer med dagen, #Ekofisk! https://t.co/xK6QOqhswl  #50th https://t.co/XeLY8cplOj",2021-06-09T15:43:19.000Z,0,conocophillips
43,"Read how our 2021 Innovation Champion, in collaboration with #ConocoPhillips teams around the world, invented a way to recycle produced water which has since been implemented in produced water recycling plants in Texas, New Mexico and Alberta, Canada.  https://t.co/kKyce0CXWo https://t.co/l4lPzX0dzF",2021-06-07T14:20:05.000Z,0.237732242,conocophillips
44,"RT @yycARTS: We're getting ready to dive into Mysterious Seas! Join us Monday, June 7 at 7pm for a live, virtual &amp; FREE @NatGeoLive with ma…",2021-06-04T17:18:14.000Z,0.160070137,conocophillips
45,"At #ConocoPhillips, we celebrate our LGBTQ+ colleagues and allies for their contributions to our company, our culture and our community. Happy #PrideMonth! https://t.co/JxReIGmFi3",2021-06-04T15:23:36.000Z,0.341163181,conocophillips
46,"#ConocoPhillips Rockies employees helped park rangers build a new riding trail, groom existing trails, clean up picnic shelter areas and pick up trash throughout Little Missouri State Park. Learn more about our work in the #Bakken: https://t.co/nMl7ooa4x2 https://t.co/Q8xJb0tkJb",2021-06-03T12:27:05.000Z,0.52785367,conocophillips
