id,sentence,created_at,ave_sentiment,user_username
1,"Meet Heather, who helps lead the team that scans hundreds of sites daily for methane leaks. Learn how her work stopping methane leaks is changing the way we monitor the Permian Basin. https://t.co/Zhi7OKJ6Lk https://t.co/1k07tGgqB3",2021-09-29T17:51:27.000Z,0,exxonmobil
2,Why settle for expected when you can have Supremium? Get a 2X cleaner engine for better gas mileage with Synergy Supreme+™ premium gas.‡,2021-09-29T15:25:02.000Z,0,exxonmobil
3,Ask more of your alarm clock and your fuel. Get a 2X cleaner engine for better gas mileage with Synergy Supreme+™ premium gas.‡,2021-09-29T15:24:11.000Z,0,exxonmobil
4,Why settle for expected when you can have Supremium? Get a 2X cleaner engine for better gas mileage with Synergy Supreme+™ premium gas.‡,2021-09-29T15:21:29.000Z,0,exxonmobil
5,Ask more of your alarm clock and your fuel. Get a 2X cleaner engine for better gas mileage with Synergy Supreme+™ premium gas.‡,2021-09-29T15:20:55.000Z,0,exxonmobil
6,You go the extra mile for your look. Why not do the same for your car? Keep your engine 2X cleaner for better gas mileage with Synergy Supreme+™ premium gas.‡,2021-09-29T15:20:15.000Z,0,exxonmobil
7,You take premium looks to next level. Do the same for your car with better mileage and a 2X cleaner engine.‡,2021-09-29T15:19:38.000Z,0,exxonmobil
8,You go the extra mile for your look. Why not do the same for your car? Keep your engine 2X cleaner for better gas mileage with Synergy Supreme+™ premium gas.‡,2021-09-29T15:19:02.000Z,0,exxonmobil
9,You take premium looks to next level. Do the same for your car with better mileage and a 2X cleaner engine.‡,2021-09-29T15:17:48.000Z,0,exxonmobil
10,"Pizza that does double duty? That’s music to our ears. Fuel that keeps your engine 2X cleaner for better gas mileage?‡ Now, that’s Supremium.",2021-09-29T15:17:13.000Z,0,exxonmobil
11,Everyone loves pizza &amp; a party. Show your car some love too—get a better clean for better gas mileage with Synergy Supreme+™ premium gas!‡,2021-09-29T15:16:38.000Z,0,exxonmobil
12,"Pizza that does double duty? That’s music to our ears. Fuel that keeps your engine 2X cleaner for better gas mileage?‡ Now, that’s 
Supremium.",2021-09-29T15:15:59.000Z,0,exxonmobil
13,Everyone loves pizza &amp; a party. Show your car some love too—get a better clean for better gas mileage with Synergy Supreme+™ premium gas!‡,2021-09-29T15:15:07.000Z,0,exxonmobil
14,Give your car the extra care it deserves. Get better mileage and take your family further with a 2X cleaner engine.‡,2021-09-29T15:11:53.000Z,0,exxonmobil
15,A little care goes a long way. Get better mileage and take your family further with a 2X cleaner engine.‡,2021-09-29T15:11:19.000Z,0,exxonmobil
16,Give your car the extra care it deserves. Get better mileage and take your family further with a 2X cleaner engine.‡,2021-09-29T15:10:47.000Z,0,exxonmobil
17,A little care goes a long way. Get better mileage and take your family further with a 2X cleaner engine.‡,2021-09-29T15:10:15.000Z,0,exxonmobil
18,You take premium looks to next level. Do the same for your car with better mileage and a 2X cleaner engine.‡,2021-09-29T14:51:17.000Z,0,exxonmobil
19,"Pizza that does double duty? That’s music to our ears. Fuel that keeps your engine 2X cleaner for better gas mileage?‡ Now, that’s Supremium.",2021-09-29T14:50:26.000Z,0,exxonmobil
20,Everyone loves pizza &amp; a party. Show your car some love too—get a better clean for better gas mileage with Synergy Supreme+™ premium gas!‡,2021-09-29T14:49:18.000Z,0,exxonmobil
21,"Pizza that does double duty? That’s music to our ears. Fuel that keeps your engine 2X cleaner for better gas mileage?‡ Now, that’s 
Supremium.",2021-09-29T14:48:40.000Z,0,exxonmobil
22,Everyone loves pizza &amp; a party. Show your car some love too—get a better clean for better gas mileage with Synergy Supreme+™ premium gas!‡,2021-09-29T14:47:51.000Z,0,exxonmobil
23,Give your car the extra care it deserves. Get better mileage and take your family further with a 2X cleaner engine.‡,2021-09-29T14:47:06.000Z,0,exxonmobil
24,A little care goes a long way. Get better mileage and take your family further with a 2X cleaner engine.‡,2021-09-29T14:45:53.000Z,0,exxonmobil
25,Give your car the extra care it deserves. Get better mileage and take your family further with a 2X cleaner engine.‡,2021-09-29T14:45:00.000Z,0,exxonmobil
26,A little care goes a long way. Get better mileage and take your family further with a 2X cleaner engine.‡,2021-09-29T14:43:06.000Z,0,exxonmobil
