id,sentence,created_at,ave_sentiment,user_username
1,"#NationalMinersDay: Today, Dec. 6 we celebrate the men and women who work in our nation’s mines. Throughout these critical times they continue to provide essential products for our country’s infrastructure and energy needs. To everyone, stay safe and healthy.  #CoalDoneRight https://t.co/Xb09hFQ0Gw",2020-12-06T14:00:00.000Z,0.282504819,peabodyenergy
2,Peabody is grateful to have the guidance and support of the Barada Barna people to create this special Keeping Place at our Coppabella Mine #NAIDOC2020 #AlwaysWasAlwaysWillBe https://t.co/e1voNSsTLO,2020-11-12T15:44:02.000Z,0.610658027,peabodyenergy
3,"Peabody’s Own Hometown Hero.  We’d like to highlight one of our own Peabody employees that was recently showcased in a local paper.  Jayme, thank you for your efforts to support our employees and the community of our TwentyMile mine. https://t.co/SBiPCiKD8p",2020-10-21T16:52:02.000Z,0.32462751,peabodyenergy
4,RT @QRCouncil: Keeping workers safe and employed during #COVID19  is the priority for the #mining and #gas sector. You can count on us to h…,2020-09-21T12:27:51.000Z,0.173636327,peabodyenergy
5,RT @QRCouncil: Every job in the #mining and #gas industry helps create more jobs right across the state. You can count on us to help Qld re…,2020-09-17T16:26:16.000Z,0.509333226,peabodyenergy
6,Well done Wilpinjong! @NSWMC Excellence in Diversity Programs and Performance Award finalist with their Flexible Work Arrangements program. Offering part-time work for Peabody people is the right thing to do and makes good business sense #Peabodyfamily https://t.co/0fejrEfQmY,2020-06-17T14:55:49.000Z,0.515751036,peabodyenergy
7,Great to host Treasurer @camerondickqld and @JGilbertMP at Coppabella this week as miners continuing to do the heavy lifting in Qld. https://t.co/nDGTMiOS8a,2020-06-11T22:21:55.000Z,0.107170668,peabodyenergy
8,RT @camerondickqld: Coppabella is seriously BIG. A montage 📸 https://t.co/0cIImJRFRv,2020-06-11T22:14:27.000Z,0.129903811,peabodyenergy
9,"Peabody is focused on creating an inclusive and diverse work environment where all employees feel supported and engaged. We too, have more to do.",2020-06-03T21:12:34.000Z,0.385858504,peabodyenergy
10,Peabody’s Coppabella and Moorvale mines are helping to protect local communities from COVID-19. Peabody employees recently visited Moranbah Dental Surgery to donate much-needed surgical masks to support emergency dental care. #WeAreInThisTogether https://t.co/Px2CVQ8Hnd,2020-04-22T13:13:38.000Z,0.213635476,peabodyenergy
11,"At Peabody, team meetings start with smart social distancing. We are taking extra measures to reduce the size of start-up meetings to keep our team members safe and healthy. #Coppabella #SafetyAsAWayofLife https://t.co/tQqP0g4LYe",2020-04-20T14:13:01.000Z,0.205214281,peabodyenergy
12,Our teams are social distancing and working to prevent the spread of COVID-19 while providing coal for power generation and essential steelmaking. #SafetyAsAWayofLife #SocialDistancing https://t.co/bZEceKSIbc,2020-04-15T21:51:42.000Z,0.20941329,peabodyenergy
13,#CaseforCoal https://t.co/UmUoL4N3yK https://t.co/jUddQvDzfV,2020-03-16T21:10:54.000Z,0,peabodyenergy
14,#DYK #CaseforCoal https://t.co/UmUoL4N3yK https://t.co/eA866aGMKI,2020-03-10T16:42:08.000Z,0,peabodyenergy
15,"In honor #InternationalWomensDay today, Peabody celebrates the growing role of women in the coal industry.

With the #IWD2020 campaign focused on equality, we asked a few of our employees: “What Does #I&amp;D Mean to You?” #EachforEqual https://t.co/QCTcuzVKYI",2020-03-08T15:51:53.000Z,0.470373619,peabodyenergy
16,"In the lead up to #InternationalWomensDay March 8, Peabody celebrates the growing role of women in the coal industry.

With the #IWD2020 campaign focused on equality, we asked a few of our employees: “What Does I&amp;D Mean to You?” #EachforEqual https://t.co/jRIt6S1cS7",2020-03-06T19:19:18.000Z,0.348011328,peabodyenergy
17,"In 2020, Peabody’s board of directors increased in gender diversity for the second consecutive year, with women now representing 25 percent of the current 12-member board.",2020-03-05T21:28:30.000Z,0.1,peabodyenergy
18,"As #InternationalWomensDay approaches, we are proud to be recognized by 2020 Women on Boards as a “W” Winning Company for our commitment to board diversity. Peabody received the recognition for having a gender-diverse board of directors with at least 20% women directors in 2019. https://t.co/KUVDwErjA2",2020-03-05T21:28:30.000Z,0.194054386,peabodyenergy
19,"Congratulations to Peabody’s Conal Hearps, a production operator and step up production coordinator at Moorvale Mine, has won a @QRCouncil/@WIMARQ_AU Award in the Exceptional Trade/Technician/Operator category https://t.co/9GfiNSUir5",2020-03-05T16:17:50.000Z,0.456383298,peabodyenergy
20,"Good luck today to Conal Hearps, a production operator at Moorvale Mine, who is a nominee in the Exceptional Trade/Technician/Operator category at today’s QRC/WIMARQ Resources #Awards. #PeabodyPeople #Excellence #IWD2020 #EachforEqual https://t.co/j7khLaYLYL",2020-03-04T21:29:46.000Z,0.385168215,peabodyenergy
21,"#TBT: An aerial shot of North Antelope Rochelle Mine back in 2004. NARM has a world-class mining and technology focus, integrating real-time planning and advanced blending to meet customized customer requirements. #CoalDoneRight https://t.co/pnVtbnsgZV https://t.co/IpzSqVMXJl",2020-02-27T18:06:00.000Z,0.150020122,peabodyenergy
22,"#CaseforCoal: A world that will use coal for many more decades needs sustainable coal companies that are financially responsible, insist on sustainable mining and encourage use of advanced technologies https://t.co/UmUoL4N3yK https://t.co/Xk8ifd2uh3",2020-02-26T16:54:31.000Z,0.702781928,peabodyenergy
23,"Good luck, Conal! @WIMARQ_AU @QRCouncil https://t.co/fOQigvyoBS",2020-02-13T22:21:04.000Z,0.472578224,peabodyenergy
24,#DYK: Peabody’s Shoal Creek Mine in Alabama ships metallurgical #coal for steelmaking via the Black Warrior River. The coal is then shipped to seaborne customers from the Port of Mobile in the Gulf of Mexico. https://t.co/d152ZYuq8q https://t.co/1dcxHCWtWs,2020-02-07T18:59:53.000Z,-0.09781862,peabodyenergy
25,"#TBT: An operations shot from Wambo Open-Cut Mine in Hunter Vallley, NSW from 2017. #DYK: The main customers for Wambo coal are in Japan, Korea and China. https://t.co/3Fd7fvOukC #CoalDoneRight https://t.co/0oQrQQMIIs",2020-02-06T18:40:30.000Z,-0.022163657,peabodyenergy
