sentence,created_at,ave_sentiment,user_username
"@StrikeClimate Excellent and thanks!
Could you also please use the #Fridaysforfuture #FFF to help us find each other?
@GretaThunberg",2018-10-22T14:15:55.000Z,0.376783995,Fridays4future
RT @lillyspickup: The voice of the youth is getting louder and louder Mr Trump You need to listen as does your government because we will a…,2018-10-21T14:24:57.000Z,-0.137281295,Fridays4future
RT @lillyspickup: #schoolstrike #klimatstrejk #FridaysForFuture #zeist we keep going!!mum and me! https://t.co/HAvYlX5xna,2018-10-21T14:04:27.000Z,0,Fridays4future
"RT @EndClimtSilence: ""To all the newspapers that still don't write and report on climate change...To all of you who chose to look the other…",2018-10-21T13:57:44.000Z,0,Fridays4future
RT @JensRundberg1: #klimatstrejk #climatestrike #FridaysForFuture #BackaGreta Fredagsgruppen i Umeå nu 10 personer. Vi måste bli 10000 för…,2018-10-21T13:57:24.000Z,0,Fridays4future
RT @JensRundberg1: Vår första #SaturdaysForFuture. Positivt med många som ville ha flygblad och flera som skrev upp sig för att vara med på…,2018-10-21T13:56:21.000Z,0,Fridays4future
"RT @TillSawala: Demanding real action on climate change in #Helsinki this morning, together with @GretaThunberg. #climatestrike #klimatstre…",2018-10-21T13:52:44.000Z,-0.063403022,Fridays4future
RT @bothoren: #klimatstrejk nu i Karlstad - ses på Stora torget! #FridaysForFuture #climatestrike #stayontheground https://t.co/WrgyZmPsQN,2018-10-21T13:51:11.000Z,0,Fridays4future
"This is correct! 
When our leaders prefer to listen to their own greed and deny science, it is only a matter of time until they will kill us all in the process. Power Corrupts! 
In this case, we have allowed this to go on since before 1978. 
#Standup now or wish you had! @_wiman https://t.co/zJ4JOKQYdy",2018-10-21T13:23:36.000Z,-0.072967287,Fridays4future
@GretaThunberg working her wisdom again! https://t.co/11baI4wBcw,2018-10-21T07:42:18.000Z,0.244038346,Fridays4future
@KlimatSverige Bra jobbat!,2018-10-21T07:41:31.000Z,0,Fridays4future
"RT @janine_ok: precis, vår #KlimatHjärta slå värje #FridaysForFuture på många ställen!

tack @GretaThunberg @lillyspickup @CO2bantaren @Bal…",2018-10-20T22:09:25.000Z,0,Fridays4future
"RT @KlimatSverige: Det finns inga jobb på en död planet. En väldigt viktig artikel i Arbetet, citerar Ulf Jarnefjord, en facklig kämpe inom…",2018-10-20T22:08:43.000Z,0,Fridays4future
RT @FinAmbSthlm: ”Finland har en grupp aktivister som sympatistrejkat med Greta Thunberg...Hon uppskattar det och tackade ja när de bjöd in…,2018-10-20T22:08:37.000Z,0,Fridays4future
"RT @GretaThunberg: Over 10 000 people in Helsinki today for the #ilmastomarssi / climate march ! 
#nytonpakko #climatestrike https://t.co/N…",2018-10-20T22:08:11.000Z,0,Fridays4future
"RT @dawnstover: Teen leaders of US climate strike movement explain what they're fighting for, how adults have let them down, and why they c…",2019-03-08T20:05:53.000Z,-0.316392425,Fridays4future
RT @ThomasGaulkin: These four young women have a message: We strike because adults refuse to act. On this #FridaysForFuture #InternationalW…,2019-03-08T20:05:46.000Z,-0.150063741,Fridays4future
"RT @zaynecowie: Finally convinced my mom to strike with me and it's #InternationalWomensDay 

#FridaysForFuture 
#climatestrike 
#NYC
#City…",2019-03-08T19:41:01.000Z,0.060633906,Fridays4future
"RT @GretaThunberg: Honoured to be “Woman of the Year” in Sweden!
 In Expressen https://t.co/UvlGt4fEG5 and in Aftonbladet  
https://t.co/fp…",2019-03-08T19:40:53.000Z,0,Fridays4future
RT @AlexandriaV2005: WEEK 13 of my @UN #ClimateStrike in NYC! Today's #InternationalWomensDay and I'm honoring some of my #WomenofClimate r…,2019-03-08T17:25:05.000Z,0.172561169,Fridays4future
RT @NakabuyeHildaF: Speaking to a French journalist about how #ClimateChange affects Uganda and the #SchoolStrike4Climate #Fridays4Future c…,2019-03-08T17:22:27.000Z,0,Fridays4future
"RT @tagesschau: Greta Thunberg zu Schwedens ""Frau des Jahres"" gewählt https://t.co/cow2C2yIYN #GretaThunberg",2019-03-08T17:22:17.000Z,0,Fridays4future
RT @Janemellett: On #InternationalWomensDay we stand with @GretaThunberg #FridaysForFuture Dublin. #climatejusticenow @jimmerz50 @gold_lgol…,2019-03-08T15:04:29.000Z,0.136421582,Fridays4future
"RT @gold_lgold: Great engagement from locals at week 5 of #FridaysForFuture Maynooth. 

Roll on #15March. 12.30 Maynooth Square. @MaynoothT…",2019-03-08T15:04:23.000Z,0.132577297,Fridays4future
"RT @NellieTat: Week 3. Parents and Pupils NKETNS, Celbridge #Youth4Climate #ParentsForFuture #FridaysForFuture @gold_lgold @GreenSchoolsIre…",2019-03-08T15:04:16.000Z,0.141773467,Fridays4future
"RT @hazechu: WOW it's week 15 @Fridays4future #FridaysforFuture #ClimateStrike

These kids are INCREDIBLE! Alex (&amp; her Dinosaur) delighted…",2019-03-08T15:04:11.000Z,0.306380147,Fridays4future
RT @HollyWildChild: #Climatestrike week 9. It rained sleet and snow. The cold snap has come after a depressingly warm February and wildlife…,2019-03-08T15:02:48.000Z,-0.196643443,Fridays4future
RT @AlexandriaV2005: I hope everyone can join me at @nyutandon this Saturday! @sciencemarchnyc will providing all the supplies for us to ma…,2019-03-08T15:02:32.000Z,0.234744282,Fridays4future
RT @AlexandriaV2005: Hawaii is already suffering the effects of climate change. @KawikaPegram you are doing an amazing job leading Hawaii's…,2019-03-08T15:02:24.000Z,-0.025755672,Fridays4future
RT @AlexandriaV2005: Thank you @RaisingVegKids1! I really liked how you address your article towards parents. We definitely need our parent…,2019-03-08T15:02:21.000Z,0.179418178,Fridays4future
"RT @GretaThunberg: Everyone says that there is no black-and-white issue, but I think this is. Either we go on as a civilization or we don’t…",2019-03-08T15:01:06.000Z,0.193531044,Fridays4future
"RT @GretaThunberg: School strike week 29.
#climatestrike #schoolstrike4climate #fridaysforfuture https://t.co/COzrtbZcJc",2019-03-08T15:00:53.000Z,-0.183028759,Fridays4future
