sentence,created_at,ave_sentiment,user_username
"RT @IENearth: Can't attend today's @AirResources meeting on the Tropical Forest Standard carbon offset vote?

You can stream it online here…",2019-09-19T17:39:29.000Z,0.035223901,IENearth
"RT @APEN4EJ: #TeamAPEN is at @AirResources today to say #NoTFS.  We need REAL #climate solutions that reduce emissions, protect our health,…",2019-09-19T16:57:09.000Z,0.271475521,IENearth
"RT @blanchardlibby: My latest in the @sfchronicle, on the dangers of #California's Tropical Forest Carbon Standard that could allow refiner…",2019-09-19T16:45:17.000Z,0.055901699,IENearth
RT @gfc123: @AirResources can respond by choosing not to endorse the primacy of #offsets and #REDD+ through the Tropical Forest Standard an…,2019-09-19T16:44:48.000Z,-0.234520788,IENearth
"RT @APEN4EJ: @GavinNewsom @AirResources It's easy to stand up to @realDonaldTrump and feel like a hero.  Today, we need @MaryNichols @AirRe…",2019-09-19T16:44:41.000Z,0.271314169,IENearth
"RT @benjamingoloff: .@CenterForBioDiv is here in solidarity with Indigenous and environmental justice leaders saying #NoTFS, a carbon offse…",2019-09-19T16:44:31.000Z,0.353553391,IENearth
RT @cejapower: Today we join indigenous leaders &amp; environmental allies in Sacramento to demand @AirResources reject the Tropical Forest Sta…,2019-09-19T16:44:21.000Z,-0.167705098,IENearth
"RT @JenniferKFalcon: .@IENearth’s global Indigenous delegation traveled from Brazil, Mexico, &amp; Ecuador to demand @AirResources reject the T…",2019-09-19T16:44:15.000Z,-0.195003374,IENearth
"RT @KQEDForum: @AirResources Joining us is:

Steve Schwartzman (@Steve_EDF) of @EnvDefenseFund
 
Katie Valenzuela of @cejapower
 
Tom Goldt…",2019-09-19T16:29:11.000Z,0,IENearth
"""Tropical forest standard as a mechanism for implementing REDD it does not cut carbon output. We don't need money to protect our trees. We just need to be left alone and have people respect our land rights."" IEN's Tom Goldtooth talking about offsets on @KQED 
#OffsetsPollute",2019-09-19T16:28:38.000Z,-0.11466855,IENearth
"Indigenous Environmental Network Executive Director is LIVE on @KQED right now talking about why @AirResources should reject the Tropical Forest Offset. #NoTFS #Offsets Pollute 

https://t.co/TAyBriouzG",2019-09-19T16:23:10.000Z,-0.13628123,IENearth
"""As Dakota, it is our duty to protect the land and water,"" said @dallasgoldtooth of Indigenous Environmental Network "" and speaking up on behalf of these sacred elements is essential to that endeavor.""

https://t.co/7SYc8nLrGE",2019-09-19T13:50:50.000Z,0.154343402,IENearth
"Can't attend today's @AirResources meeting on the Tropical Forest Standard carbon offset vote?

You can stream it online here: 
#NoTFS #OffsetsPollute

https://t.co/IkxFSoKhFl",2019-09-19T13:42:38.000Z,-0.037836539,IENearth
"A judge approved an injunction against South Dakota's unconstitutional ""riot boosting"" law.

""This decision is a good step in protecting our right to organize, educate and promote a sustainable future for all generations of life.” @dallasgoldtooth

#NOKXL

https://t.co/f84FtaMPBp https://t.co/KWAmLASXya",2019-09-19T05:30:43.000Z,0.471407797,IENearth
"""Offsets are hard to verify, can be redundant to existing conservation programs, often displace indigenous communities and give a false sense that we are addressing the climate impacts of fossil fuels.""

Read more from the IEN &amp; @foodandwater op-ed below:

https://t.co/UCseOYJWTJ",2019-09-18T21:21:53.000Z,-0.019601632,IENearth
"The world is watching @GavinNewsom
 and the @AirResources this week as they will decide to adopt or reject the Tropical Forest Standard. The world is on fire, we cannot keep adopting false solutions. 

#NoTFS #OffsetsPollute

https://t.co/FPnLnY9R3t",2019-09-16T20:49:46.000Z,-0.034783753,IENearth
"“The US is partnering with Brazil to contribute to the continued genocide of the Indigenous peoples of the Amazon and the destruction of Mother Earth’s lungs, the Amazon forest.”

Fixed that headline for you @BBCWorld 

https://t.co/mO2GBDIQPH?",2019-09-15T16:28:23.000Z,-0.148365074,IENearth
"Indigenous people and people of color are disproportionately affected by our global climate crisis.
But in the mainstream green movement and in the media, they are often forgotten or excluded.

This @VICE article by @jnoisecat should be required reading. 

https://t.co/tpeRTZMW1I",2019-09-13T20:58:04.000Z,-0.12442739,IENearth
"@AirResources Can't attend the @AirResources board? You can leave CARB and @GavinNewsom  a comment at the link below.
#NoTFS #ClimateEmergency #OffsetsPollute 

https://t.co/tmn4DK6iFx",2019-09-13T15:51:48.000Z,-0.035236133,IENearth
"Thursday, Sept 19 join a global Indigenous delegation &amp; their allies at the @AirResources meeting.
Indigenous leaders from Mexico, Brazil, Ecuador, Indonesia, &amp; Kenya have traveled to CA to testify on the ineffectiveness of offsets.
#offsetspollute #notfs
https://t.co/RMYO4wPAk4",2019-09-13T15:23:29.000Z,0.005976344,IENearth
RT @VozSilvestre: Tell @AirResources #NoTFS at their Sept 19 hearing. &lt;Since California polluters emit toxic particles and gasses along wit…,2019-09-13T14:51:09.000Z,-0.065812248,IENearth
"RT @CenterForBioDiv: To tackle the climate crisis, we need a just transition off fossil fuels — not “offsets” that excuse continued polluti…",2019-09-13T14:50:59.000Z,-0.109108945,IENearth
RT @foe_us: .@GavinNewsom @CAGovernor: Real climate leadership in California means protecting forests from polluting offsets. Tell @AirReso…,2019-09-13T14:50:51.000Z,0.128236288,IENearth
"RT @greenpeaceusa: As the Amazon burns, CA is still considering flawed forest offsets to allow more pollution. @AirResources @MaryNicholsCA…",2019-09-13T14:50:46.000Z,-0.006617419,IENearth
"RT @foe_us: .@MaryNicholsCA: While the Amazon continues to burn, we need real, lasting &amp; just solutions to tropical deforestation — not a f…",2019-09-13T14:50:39.000Z,-0.083405766,IENearth
".@GavinNewsom @CAgovernor @MaryNicholsCA @AirResources Indigenous communities are already impacted by chaos from #climatechange, we cannot keep promoting false solutions like the Tropical Forest Standard if we want to save Mother Earth.

#NoTFS #OffsetsPollute https://t.co/QnAR7cGDzQ",2019-09-13T14:48:44.000Z,-0.220518356,IENearth
"RT @aguynamedrico: .@SenSanders, @CoryBooker, @ewarren, @JulianCastro, @BetoORourke, @KamalaHarris , @JoeBiden, @PeteButtigieg and @amyklob…",2019-09-12T19:57:56.000Z,0,IENearth
"RT @NYCDSA_Climate: Carbon pricing, cap-and-trade, and carbon offsets are non-solutions.

They:

🛢️Don't keep fossil fuels in the ground
📈D…",2019-09-12T19:54:52.000Z,0.025148644,IENearth
"@AmazonWatch @180099native @Costco @jpmorgan @Walmart @StopandShop Thanks to rain some fires have gone down in other areas. But there are still fires raging in other territories. 
Bolsonaro's rhetoric is hateful toward Indigenous peoples and explicitly says horrible things about granting them rights. 
Update from Chief Ninawa via a translator.",2019-09-12T17:44:16.000Z,-0.105537602,IENearth
"@AmazonWatch @180099native It's not just Bolsonaro fueling the #amazonfires it's corporate agriculture from corporations like @Costco, @jpmorgan, @walmart, @StopandShop. 
You can find more information from @AmazonWatch here:

https://t.co/kgLCHq4cbx https://t.co/nClNM7kPtu",2019-09-12T17:38:47.000Z,0.142206747,IENearth
