sentence,created_at,ave_sentiment,user_username
"RT @stampthewax: Optimo co-pilot @JDTwitch edits ""real deal"" EBM with ""funk encoded deep into its sequences"". 

Day 19 of our charity Adven…",2018-12-19T20:20:44.000Z,0.10006136,JuliesBicycle
"There’s no one-size-fits-all approach for an environmental policy. Join our next webinar to develop a sustainability policy and action plan that are specific to your organisation, activities and impacts. Find out more and book your free place: https://t.co/7lVI2nivu1",2018-12-19T13:01:00.000Z,0.211386467,JuliesBicycle
The #CreativeGreen showcase at @V_and_A brings us to the end of #SeasonforChange! Thank you to all who joined JB and @artsadm in celebrating the environment through culture and inspiring urgent action on climate change. Several events are still ongoing: https://t.co/FX6jxdUR73,2018-12-19T12:39:38.000Z,0.28105498,JuliesBicycle
"Rich discussions at our #CreativeGreen event this morning, sharing opportunities, challenges, and conditions for success in Sustainability Programming @V_and_A with thanks to kind support from @GoodEnergy https://t.co/IEGnagCHZP",2018-12-19T11:51:34.000Z,0.857366972,JuliesBicycle
"This morning's #CreativeGreen Programming and Practice Showcase at @V_and_A continues with presentations from V&amp;A curator Edwina Ehrman, Elsa Stevens from @Sadlers_Wells, @theKarishma from @SomersetHouse, and JB's Creative Green Lead Catherine Bottrill. https://t.co/vfGbIX7fMe",2018-12-19T11:34:58.000Z,0.12732681,JuliesBicycle
Curator Edwina Ehrman kicking off our #CreativeGreen Showcase this morning by taking us through the @V_and_A's Fashioned from Nature exhibition. https://t.co/1muqxddE3y,2018-12-19T11:25:03.000Z,0,JuliesBicycle
Check out the new track from @JMayanja: for Day 17 of the @stampthewax charity Advent Calendar in aid of our new Green Riders campaign. https://t.co/PT5DctOo1T,2018-12-19T10:54:51.000Z,0.477890554,JuliesBicycle
"Good to be at @V_and_A for their green champions meeting today, another one of our #CreativeGreen organisations doing amazing work! https://t.co/dx4nOSCDdL",2018-12-18T16:56:18.000Z,0.174511075,JuliesBicycle
Congratulations @ShambalaFest for achieving a full 5 ⭐️ #CreativeGreen Certification for 2018! Check out their pioneering environmental work at https://t.co/twBeFl07gV. Here are their 2018 highlights: https://t.co/pb8CwX2ex6,2018-12-18T14:01:02.000Z,0.11373789,JuliesBicycle
Congratulations @Sadlers_Wells for achieving a full 5 ⭐️ #CreativeGreen Certification for 2018! Check out their pioneering environmental work at https://t.co/tIVWMmlddJ. Here are their 2018 highlights: https://t.co/OqJEI7nL6G,2018-12-18T13:00:56.000Z,0.110341619,JuliesBicycle
Congratulations @LyricHammer for achieving a full 5 ⭐️ #CreativeGreen Certification for 2018! Check out their pioneering environmental work at https://t.co/updcwblBoD. Here are their 2018 highlights: https://t.co/tOi4weHJq5,2018-12-18T12:01:11.000Z,0.114870808,JuliesBicycle
Congratulations @battersea_arts for achieving a full 5 ⭐️ #CreativeGreen Certification for 2018! Check out their pioneering environmental work at https://t.co/rvLdMpZsMS. Here are their 2018 highlights: https://t.co/TMswQJngBa,2018-12-18T11:01:04.000Z,0.110341619,JuliesBicycle
Congratulations @AlmeidaTheatre for achieving a full 5 ⭐️ #CreativeGreen Certification for 2018! Check out their pioneering environmental work at https://t.co/UTkOaGtBCb. Here are their 2018 highlights: https://t.co/8EoQfj3eku,2018-12-18T10:00:54.000Z,0.114870808,JuliesBicycle
"RT @stampthewax: Jazz-funk for the 21st Century from London duo The Colours That Rise. 

Day 16 of our charity Advent Calendar in aid of @J…",2018-12-16T14:01:58.000Z,0.378821235,JuliesBicycle
"RT @stampthewax: A cacophony of groove, as if Basquiat had opened the window to his downtown studio letting the New York street sounds floo…",2018-12-15T17:32:47.000Z,0.11226828,JuliesBicycle
Understanding the environmental impacts of our creative responses matters. We're partnering with @olafureliasson once more to calculate the carbon footprint for #IceWatchLondon: https://t.co/J1rMImAn0G,2018-12-15T12:00:54.000Z,0.318317026,JuliesBicycle
"Supporting Green Riders this week: new music from @JMayanja, @JDTwitch, Jonny Rock, Outbar, The Colours That Rise, @ThePilotwings and Wild Flowers for the @stampthewax Charity Advent Calendar. Proceeds go to launching JB's Green Riders campaign: https://t.co/WM2HzeMrbM https://t.co/VeWvmJBqCL",2018-12-15T10:00:18.000Z,0.367560841,JuliesBicycle
"Jay L, Scott Grooves, Benedek, Lipelis, Alek Lee, Flørist and Ariwo present new music this week for the @stampthewax Charity Advent calendar. Check them out on @Bandcamp where proceeds go to launching JB's Green Riders campaign  (https://t.co/LMEH45NDFs) https://t.co/7r5TaD6J1w",2018-12-14T17:32:29.000Z,0.369796262,JuliesBicycle
"In September, JB's then-Programme Manager Georgia Attlesey chaired a panel on Art &amp; Ecology featuring Worm, @PhytologyLondon and @TinaPulejkova by @LCNLondon at @SPACEstudios. You can listen back to the discussion now: https://t.co/dEEgdSLMS3",2018-12-14T12:00:48.000Z,0.093456752,JuliesBicycle
"RT @musicvenuetrust: What more could Grassroots Music Venues do to support the environment?
Chiara Badiali, @JuliesBicycle 
#VenuesDay2018…",2018-12-14T10:37:51.000Z,0.299665391,JuliesBicycle
Share the love with our participants: @New_Adventures @TheatreRNorwich @Sadlers_Wells @mettatheatre @improbable1 @Grand_Theatre @LyricHammer @ATGTICKETS @artsadm @BowArts @FRfestivals @BoomtownFair @EastStreetArts @LTC_Theatres @McrClimate @philharmonia @birdmail @SouthamptonCC,2018-12-13T17:09:03.000Z,0.41576092,JuliesBicycle
"RT @stampthewax: Luscious, emotive atmospheres in pacy, early-morning territories. Day 13 of our charity Advent Calendar in aid of @JuliesB…",2018-12-13T15:01:06.000Z,0.490153037,JuliesBicycle
Excited to present @ROCK_H2020 at #COP24 tomorrow and explore cultural heritage as a driver for climate innovation and urban sustainability with @EUROCITIEStweet @ECO4CLIM and @FIDIC! @EU_H2020 #H2020 https://t.co/WUmh5NYW9X,2018-12-13T12:30:36.000Z,0.288797804,JuliesBicycle
We're absolutely delighted to be nominated for @TheStage Sustainability Award with @ace_national for our Accelerator Programme! It's an honour to be among @LyricHammer &amp; @NationalTheatre who we've worked closely with. Read about the Accelerator Programme: https://t.co/eKZQPn4HVL https://t.co/N0bJxiymCE,2018-12-13T10:04:21.000Z,0.357523292,JuliesBicycle
Event organisers: @powerthinkorg's Festival Industry Green Survey is now open! Please take a few minutes to fill in your event's sustainability practices to help track progress across the sector and continue to support positive change: https://t.co/CIWzyOoBeV https://t.co/2vIzdxCQgh,2018-12-12T15:28:06.000Z,0.392396722,JuliesBicycle
RT @stampthewax: A carefree slow burner from Tel Aviv native Alek Lee. Day 12 of our Charity Advent Calendar in aid of @JuliesBicycle. http…,2018-12-12T15:16:07.000Z,0.315743595,JuliesBicycle
"Join members of the JB team at 5.30pm tonight @olafureliasson's #IceWatchLondon outside  Tate Modern, as @ESMERALDAmusic leads a short choral soundscape experiment by the melting ice https://t.co/rouVrghzCA",2018-12-12T10:46:32.000Z,0.301247407,JuliesBicycle
RT @TheArtNewspaper: .@olafureliasson's latest work is melting away on the bank of the Thames in London as warning against climate change h…,2018-12-11T20:28:34.000Z,-0.053300179,JuliesBicycle
Some pictures from this morning's launch of #IceWatchLondon outside @Tate. JB is partnering with @olafureliasson to  produce a #carbonfootprint of Eliasson's work to coincide with #COP24. Ice Watch will be available to view and interact with until 21st Dec at Bankside in London https://t.co/A9RhcBVjGp,2018-12-11T12:02:36.000Z,0.067145932,JuliesBicycle
How can the creative sector’s environmental efforts adapt to the rapid development of digital technology? A good start is switching to a 100% renewable energy provider. Our partner @GoodEnergy actively supports the sector's transition with discounted rates https://t.co/7YqmR7g02N,2018-12-11T12:00:49.000Z,0.384777744,JuliesBicycle
"Our thanks to @theCSPA for featuring us in their latest quarterly issue!
https://t.co/OXdh74oarG",2018-12-11T10:05:07.000Z,-0.06301043,JuliesBicycle
RT @stampthewax: Low-slung electro-funk from PPU and @LEAVINGRECORDS mainstay Benedek. Day 10 of our charity Advent Calendar in aid of @Jul…,2018-12-10T17:34:00.000Z,0.432746731,JuliesBicycle
"RT @artsadm: As part of #SeasonforChange, head to Bedford Street car park in Middlesbrough to see murals depicting the past, present and po…",2018-12-10T17:08:17.000Z,0.072980045,JuliesBicycle
"RT @stampthewax: One of Detroit's most underrated custodians, Scott Grooves decompresses with a serene cool down. 

Day 9 of our charity Ad…",2018-12-10T16:21:47.000Z,0.397635438,JuliesBicycle
"This week kicks off with new music from Jay L and Scott Grooves -  supporting the launch of our Green Riders campaign thanks to  @stampthewax's charity Advent Calendar.

Find out more about Green Riders: https://t.co/j75NFptLC2 https://t.co/EjFtHBNRzi",2018-12-10T16:21:17.000Z,0.446323878,JuliesBicycle
"Thank you @powerthinkorg for sharing our recent efforts to put the global political landscape in context for the creative sector: our blog post on what the @IPCC_CH #SR15 means for the arts &amp; our Industry Briefing discussing #COP24!
 Read and listen back to them: https://t.co/TDdXU7jGgP",2018-12-10T14:10:26.000Z,0.144176579,JuliesBicycle
"""We must navigate the opportunities and challenges of technology with ethics and sustainability at its heart."" JB's Lucy Latham writes a piece prompted by the our workshop at @wccforum 2018 with @radhikafox @WaiteMarilyn @rinamariann and @IamLizLee: https://t.co/RgNNzh8AAV",2018-12-10T13:02:06.000Z,0.341053956,JuliesBicycle
RT @stampthewax: A plaintive lament from D.C. singer and @FutureTiming family Dreamcast. Day 6 of our charity Advent Calendar. All proceeds…,2018-12-10T10:33:40.000Z,0.157167205,JuliesBicycle
RT @JuliesBicycle: What if artist riders could spark a movement for change across the industry? That's the thinking behind our Green Riders…,2018-12-07T17:23:36.000Z,0.098626923,JuliesBicycle
"There's still plenty happening in #SeasonforChange: exhibitions &amp; installations at @V_and_A @Woodhorn @wethecurious_ and @ONCA_Arts, digital artwork by @olygamy @robinrimbaud &amp; @growobservatory, and @DavidJohnLane's new play commissioned by @beaford! https://t.co/djS0fyAZdV https://t.co/fzhCgmMrIB",2018-12-07T17:05:08.000Z,0.135050476,JuliesBicycle
"Our time at #COP24 continues: Lucy Latham heads to Katowice present @ROCK_H2020. Joined by @EUROCITIEStweet @ECO4CLIM and @FIDIC, the event explores cultural heritage as a driver for climate innovation and urban sustainability. @EU_H2020 #H2020 https://t.co/WUmh5NYW9X https://t.co/W3TwVw0VLL",2018-12-07T15:00:28.000Z,0.205521039,JuliesBicycle
"What did the first week of the @stampthewax Advent have in store for us? New music from Jayda G, @ill_Considered, Gigi Masin, Bell Towers, @joeArmonJones with @SonsOfKemet's @EddieHick, and Dreamcast - all in support of our Green Riders campaign: https://t.co/XWBvSihCkr",2018-12-07T13:30:08.000Z,0.236891233,JuliesBicycle
What if artist riders could spark a movement for change across the industry? That's the thinking behind our Green Riders campaign and we're excited that the @stampthewax Advent Calendar will support its launch! Read about Green Riders and the partnership: https://t.co/XWBvSihCkr,2018-12-07T13:02:55.000Z,0.290462467,JuliesBicycle
.@TheArcticCycle are hoping to bring Climate Change Theatre Action back for a third iteration - a global participatory and collaborative project using theatre to bring communities together and encourage them to take action on climate: https://t.co/jXlTye801m,2018-12-07T09:00:26.000Z,0.360288346,JuliesBicycle
As a 5* #creativegreen @ShambalaFest pioneering work in festival sustainability definitely makes them deserved winners of @festival_awards innovation award 2018.,2018-12-06T22:48:09.000Z,1.683911487,JuliesBicycle
Huge congratulations to @ShambalaFest for winning the innovation award @festival_awards https://t.co/SR6CUH2YwJ,2018-12-06T22:02:31.000Z,1.26118525,JuliesBicycle
Did you catch Day 5 of the @stampthewax charity Advent calendar? New music shared every day https://t.co/4tmLp1b8QT,2018-12-06T16:59:34.000Z,0.584644692,JuliesBicycle
"Delighted to have #CCLeaders alum Jessica Sim back for Creative Climate Leadership at #COP24. A curator and artist, she co-founded NADAS Istanbul, a creative house supporting projects that value urban biodiversity and relationships between people and their environments #COPtimism https://t.co/MSMwnC2CMI",2018-12-06T16:39:55.000Z,0.411482161,JuliesBicycle
"The discussion on arts as catalysts for change continues at Creative Climate Leadership at #COP24. @lucyhneal &amp; @shelleycastle1 of @Encounters_Arts share their work, which has drawn inspiration from the growing call for rights of nature in our legal system. #COPtimism #CCleaders https://t.co/PmCtMZBDgH",2018-12-06T16:21:56.000Z,0.30252858,JuliesBicycle
"#CCLeaders alum Gaja Mežnarić Osole is a designer working in cross-disciplinary fields between design, ecology and participation, exploring embedding possibilities that have emerged from economical crisis and environmental depletion into design. #COPtimism #CCLeaders #COP24 https://t.co/DdlqjIZ9Gt",2018-12-06T15:25:18.000Z,0.180484415,JuliesBicycle
"Michal Sládek shares @Pohodaofficial's strategy for reducing environmental impacts at an annual festival of 30,000 capacity, and how the festival inspires audiences, at Creative Climate Leadership at #COP24. #COPtimism #CCLeaders https://t.co/zWikvojY6x",2018-12-06T15:11:03.000Z,0.273281311,JuliesBicycle
"Artist Cecylia Malik shares her work, which occupies the intersection of environmental &amp; socio-political issues and ""citizens’ rights to the city"". For Creative Climate Leadership at #COP24, she explores how art can help face environmental challenges #COPtimism #CCLeaders https://t.co/y838SVTdoS",2018-12-06T14:56:24.000Z,0.138580466,JuliesBicycle
"Where we should focus our efforts to make a difference? Marilyn Averill of @CUBoulderGWC breaks down #COP, the current status of international climate negotiation and key challenges faced by negotiators at our Creative Climate Leadership at #COP24 event #COPtimism #CCLeaders https://t.co/HbH0tkaUmm",2018-12-06T14:41:27.000Z,0.124448729,JuliesBicycle
"Delighted to see all those gathered in @laznianowa today for Creative Climate Leadership at #COP24! We kicked off with JB's Laura Pando discussing the #CreativeClimateMovement, the #CCLeaders programe, and what creative and cultural leadership we need going forward #COPtimism https://t.co/W96B9xCHpB",2018-12-06T14:23:24.000Z,0.316886743,JuliesBicycle
Our Creative Green Lead Catherine Bottril discussing sustainability in cinema and the audio visual industry alongside @HOME_mcr @LewesDepot and @Film_London yesterday at @theBluecoat for #ThisWayUp18! https://t.co/bsnpel5fPe,2018-12-06T14:14:34.000Z,0.210034766,JuliesBicycle
"RT @ClimateHeritage: Big week at #COP24 with loads of programs touching culture &amp; heritage, incl-

➡️“Creative people facing global challen…",2018-12-05T20:13:46.000Z,0.447213595,JuliesBicycle
"RT with thanks to @stampthewax: Day 4 of the charity Advent Calendar in aid of @JuliesBicycle. Bell Towers strongly disputes Xmas is for winding down with an 80s homage that Robotnik would be proud of...

https://t.co/LUnl842Fpc",2018-12-04T22:58:46.000Z,0.307891537,JuliesBicycle
"Fellow @wccforum panelist @radhikafox leads a webinar by @USWaterAlliance and @ArtPlaceAmerica this Thursday, where arts and water leaders will explore how integrating water, arts, and culture has helped imagine new solutions to water challenges. https://t.co/Y2SmY1iISX",2018-12-04T15:11:03.000Z,0.327545517,JuliesBicycle
"RT @stampthewax: Gaussian Curve pianist @gigimasin takes an ambient glide through the Venetian clouds. 

Day 3 of our charity Advent Calend…",2018-12-04T12:42:13.000Z,0.406777005,JuliesBicycle
"The final line-up for Creative Climate Leadership at #COP24 welcomes @shelleycastle1 of @Encounters_Arts, Marilyn Averill of @CUBoulderGWC and Milica Đilas of @ExitFestival. See you this Thursday at @laznianowa! Timings and tickets here: https://t.co/k7hNgK9opg https://t.co/ogFrGN8gnZ",2018-12-03T15:38:17.000Z,0.174409962,JuliesBicycle
"RT @stampthewax: Spiritual jazz four-piece ILL Considered tear a Christmas classic to shreds with an improvised tour-de-force.

Day 2 of ou…",2018-12-03T13:12:37.000Z,-0.061009586,JuliesBicycle
"RT @stampthewax: Jayda G launches our 2018 Advent Calendar with a meditation about loneliness on the road and missing home.

All download d…",2018-12-02T15:11:58.000Z,0.018778354,JuliesBicycle
"Path finding means ""creating contexts for action, building bridges, setting the agenda, curating the conversations and demonstrating the possible."" Read our article on Path Finding, the latest in a series on our #CreativeClimateMovement on @ENCATC: https://t.co/93zp7dQsOo https://t.co/tOMBpZkiv4",2018-12-02T00:00:44.000Z,0.04381616,JuliesBicycle
"""The production might be local...but the stories within it point to an urgent global deadline that affects everybody."" @DavidJohnLane takes us behind the scenes of his new play with @beaford and @multistoryTC. The #SeasonforChange event opens next week. https://t.co/hlVFlrafuW",2018-11-30T15:01:52.000Z,0.040756651,JuliesBicycle
RT @JuliesBicycle: Engaging with environmental sustainability brings about a whole range of  benefits beyond energy efficiency or emission…,2018-11-30T14:21:09.000Z,0.777817459,JuliesBicycle
"Engaging with environmental sustainability brings about a whole range of  benefits beyond energy efficiency or emission reduction. Find out how @ace_national NPOs like @PoetrySociety, @HOME_mcr &amp; @mao_gallery are doing it: https://t.co/tPOLnA2jDT  #GreenCulture #COPtimism https://t.co/F2VZMbI9UY",2018-11-29T16:59:43.000Z,0.520885751,JuliesBicycle
"RT @JuliesBicycle: We'll be in Krakow, #Poland to discuss how artists and creatives can respond to climate change on 6th December - find ou…",2018-11-29T13:21:18.000Z,0,JuliesBicycle
"This December, @olygamy and @robinrimbaud invite you to experience soil through a uniquely data-driven generated audio-visual representation on your computer. With @growobservatory, Erik Overmeire, @danhett &amp; @FuturEverything: https://t.co/QPs4DiWvf0 #SeasonforChange @artsadm",2018-11-29T13:01:21.000Z,0.029085179,JuliesBicycle
"RT @stampthewax: After a year out, our Charity Advent Calendar is back on 1st Dec with unreleased music donated by these talented folks.…",2018-11-29T12:16:42.000Z,0.562988918,JuliesBicycle
"Tomorrow, join @leoboix, @jemma_borg, @MayaChowdhry, @hadfield_jen and more @Exmouth_Mkt to launch @magmapoetry's Climate Change Issue. #SeasonforChange
https://t.co/xUyyPI2VDY",2018-11-28T17:01:20.000Z,-0.222511737,JuliesBicycle
"@bridgetmck @ecallahand2 @WhatNextCulture The next What Next Climate Change meeting will be on 13th Dec, drop us an email for more info! We also have resources on museums: our museums framework (https://t.co/SswQJxrsjc) lists  organisations and networks. @eire_claire is best placed to talk about museums &amp; climate change",2018-11-28T15:59:21.000Z,0.113128102,JuliesBicycle
"""Rooted in the city, MAST enables members to share common challenges and  opportunities and link directly to what is happening on a city level.""  Read our article on Collaboration, part of a series on our #CreativeClimateMovement on @ENCATC: https://t.co/fVMXH9e2Mp @McrClimate https://t.co/X1NJEOOayn",2018-11-28T15:41:36.000Z,0.211636736,JuliesBicycle
"Releasing tomorrow, a new song by @TheBookshopBand @UpcycledSounds responds to work by @ecioxford's @KateRaworth &amp; @ymalhi. Join the collaborators for a live chat on communicating environmental research through art: https://t.co/XcYmzCTgHy @TandemFest @artsadm #SeasonforChange",2018-11-27T15:30:41.000Z,0.226282889,JuliesBicycle
