sentence,created_at,ave_sentiment,user_username
"That's right, from just our San Francisco team members we eliminated about 350 miles per week of commuting. 
RT @GlobalEcoGuy:  @ProjectDrawdown we phased out offices altogether, and everyone now works from home — partly to reduce our commuting time and CO2 emissions... https://t.co/lecGO1POsx",2019-04-24T23:04:43.000Z,0.065496777,ProjectDrawdown
"This story https://t.co/LkdERF5uG2 is about how microbes may act as gatekeepers of Earth's deep carbon, but watch the video and you can't help but be inspired by how scientists from different disciplines work together on the discovery. https://t.co/ZNs62VWB0g",2019-04-24T22:21:03.000Z,-0.287623868,ProjectDrawdown
"We're looking forward to this program @TWIScience:
TONIGHT! @TWIScience will be LIVE with @GlobalEcoGuy of @ProjectDrawdown. Watch LIVE, Wednesday, 4/24, 8 p.m. PT - https://t.co/Fyx493IGBB or https://t.co/f1zUivGXe6 … https://t.co/sXdeiOtXzj",2019-04-24T16:45:04.000Z,0.162373364,ProjectDrawdown
"Fantastic, thank you! https://t.co/GaB2tlVoIa",2019-04-24T16:28:39.000Z,0.393815187,ProjectDrawdown
"This couple in northern Ontario, Canada are getting people to think about another way of farming.
Ryan &amp; Isabelle Spence talk to @CBC about #regenerative farming, a Drawdown solution to #climate change: https://t.co/S1k6IAr6zP",2019-04-24T15:14:56.000Z,0.102405119,ProjectDrawdown
"Choosing an electric car over its combustion-engine equivalent will soon be just a matter of taste, not a matter of cost, writes @Zhirji28 for @BuzzFeedNews
Electric vehicles are a #Drawdown solution to climate change. #EV
https://t.co/N1ipVKVTmg",2019-04-23T22:30:07.000Z,0.046118912,ProjectDrawdown
"Today is #WorldBookDay. Do you have our book, Drawdown?
Consider giving a copy to a friend or colleague - it also makes a beautiful and inspiring graduation gift.
Buy it here: https://t.co/0YR24Lb5gu https://t.co/AaoH1OpPZ3",2019-04-23T18:10:05.000Z,0.384283629,ProjectDrawdown
"RT @LaraHBalazs Happy #EarthDay2019. #PoweringProsperity @Intuit means we stand for getting to zero waste.
Thanks to @GlobalEcoGuy for educating us today🌍 https://t.co/pWqM3JDCla",2019-04-23T14:25:32.000Z,0.103678085,ProjectDrawdown
"This Is Why These States Aren’t So Chill About What’s Inside Air Conditioners, writes @alaynaEalvarez for @pewtrusts. Refrigerant management is a top Drawdown solution to solving #climate change.
 https://t.co/7TIOMjsLoQ",2019-04-23T13:30:17.000Z,0.279302314,ProjectDrawdown
RT @CNN The most effective ways to curb climate change might surprise you https://t.co/VAjW7wr1gD https://t.co/PCOCyc5SpF #EarthDay @ProjectDrawdown,2019-04-23T02:20:03.000Z,0.400076916,ProjectDrawdown
"RT @UNGEI Gaining ground on gender equity means gaining ground on climate change. 
On #EarthDay, a reminder of why girls’ education is key to both → https://t.co/YpXWMAK5fC … #EducateToEmpower @DrKWilkinson https://t.co/DXtKclCvE7",2019-04-23T00:35:02.000Z,0.378365393,ProjectDrawdown
"It's #EarthDay so get your toes tapping with @Raffi_RC and ""Cool It"" - The Global Cooling song. Sing along!
Cameo appearance by David Suzuki @DavidSuzukiFDN. HT @SarahEMyhre.
https://t.co/vkqAABDT0k",2019-04-22T23:05:02.000Z,0.221306043,ProjectDrawdown
"Glad you like it!
RT @deepseadawn This is a super fun and super INFORMATIVE quiz for #EarthDay! Thank you @GlobalEcoGuy &amp; @ProjectDrawdown https://t.co/JEeSoJVIbH",2019-04-22T22:40:05.000Z,0.448788954,ProjectDrawdown
"In this short podcast, @tialeenelson of @OutriderFDN remembers her father, Gaylord Nelson, and his reasons for founding #EarthDay.
#Wisconsin #conservation https://t.co/mLhUO6JanC https://t.co/FaFrR4NZ4D",2019-04-22T18:12:25.000Z,0.121076926,ProjectDrawdown
"As a member of the Dena’ina Athabascan tribe of Alaska, Ruth Miller understands how human rights and her heritage intersect with the landscape around her.  Empowering women and indigenous land mgmt are #Drawdown solutions to #climate change. https://t.co/5o2ayHemPJ",2019-04-22T16:20:04.000Z,0.120193165,ProjectDrawdown
